GEOID,ptg_owner_unit_resident,ptg_renter_unit_resident,ptg_race_white,ptg_race_black,pop_density_perSqkm,household_w_car,rate_w_car,household_w_car_2017,rate_w_car_2017,communte_by_car_by_household
36047102000,0.6115444617784711,0.3884555382215288,0.04002079002079,0.8690228690228691,12251.499598833434,608,0.8636363636363636,554,0.8683385579937304,0.6660823838737949
36047102200,0.5409570154095702,0.4590429845904298,0.1750909826122119,0.6736756975333603,15185.847011648828,562,0.7356020942408377,488,0.6759002770083102,0.4241573033707865
36047102400,0.6325757575757576,0.3674242424242424,0.0851851851851851,0.8513888888888889,15091.703056768558,468,0.7672131147540984,554,0.8219584569732937,0.5089285714285714
36047102600,0.654178674351585,0.345821325648415,0.0494891443167305,0.8026819923371648,23042.96645085344,795,0.8204334365325078,671,0.7556306306306306,0.35007496251874065
36047105801,0.0,1.0,0.2647742363877822,0.5770252324037185,14396.226009277249,826,0.23914302258251302,1253,0.3683127572016461,0.24782135076252723
36047105804,0.0429132668479903,0.9570867331520096,0.1745373797187268,0.6543301258327165,8769.89129489295,1088,0.35324675324675325,1141,0.37009406422315927,0.2846869712351946
36047107800,0.6846335697399527,0.3153664302600473,0.0562730627306273,0.8484778597785978,8560.2375386948,976,0.5368536853685368,1254,0.6856205576817933,0.21857647652700657
36047109800,0.3419445749178018,0.6580554250821982,0.0602549246813441,0.7334878331402086,3030.260468970554,390,0.5873493975903614,295,0.4704944178628389,0.08850457782299084
36047110400,0.4899938106044976,0.5100061893955024,0.0370662460567823,0.7344242902208202,6830.746439513821,779,0.46149289099526064,748,0.44844124700239807,0.33647798742138363
36047110600,0.0,1.0,0.0587878787878787,0.6933333333333334,28938.3992096017,685,0.34147557328015954,350,0.21224984839296543,0.2598491198658843
36047111000,0.0,1.0,0.0541368743615934,0.7449778685733742,23499.383911283225,229,0.15652768284347232,326,0.2237474262182567,0.008557457212713936
36047111600,0.4039115646258503,0.5960884353741497,0.018579791295495,0.7897683889030288,7862.749100456676,812,0.7116564417177914,434,0.4357429718875502,0.3408685306365259
36047111800,0.2795389048991354,0.7204610951008645,0.1272112382934443,0.5993756503642039,23682.637866344652,449,0.3391238670694864,490,0.45539033457249073,0.37453737971872686
36047112000,0.3882805563776265,0.6117194436223735,0.1032960565038257,0.7107121836374338,19641.164366141824,471,0.40153452685422,377,0.35233644859813085,0.2715318869165023
36047112200,0.2734754956977179,0.7265245043022821,0.0428571428571428,0.6438538205980067,18547.616846905137,590,0.42233357193987114,563,0.4707357859531773,0.2609117361784675
36047112400,0.3542600896860987,0.6457399103139013,0.0372434017595307,0.7780058651026392,19173.568589083996,552,0.4654300168634064,669,0.5417004048582996,0.2314990512333966
36047112600,0.2164145907473309,0.7835854092526691,0.002589555459646,0.8133362106171774,27501.48367952522,612,0.3564356435643564,523,0.3900074571215511,0.20550458715596331
36047112800,0.3422739140754806,0.6577260859245193,0.0332939787485242,0.8417945690672963,22992.18754241475,640,0.4377564979480164,606,0.4102911306702776,0.28037974683544303
36047113000,0.3264346190028222,0.6735653809971778,0.0740827296097219,0.8237906052816079,22075.81823434727,751,0.4573690621193666,521,0.3515519568151147,0.3475452196382429
